Training: loss = 51.19826 | Val: loss = 299.15390
Training: loss = 55.31836 | Val: loss = 297.78743
Training: loss = 51.63950 | Val: loss = 299.32306
Training: loss = 53.48696 | Val: loss = 295.69204
Training: loss = 54.95968 | Val: loss = 296.73558
Training: loss = 54.49349 | Val: loss = 295.08848
Training: loss = 55.45845 | Val: loss = 294.06462
Training: loss = 55.55516 | Val: loss = 291.84835
Training: loss = 53.36506 | Val: loss = 293.54319
Training: loss = 52.47653 | Val: loss = 293.55199
Training: loss = 54.24673 | Val: loss = 292.57412
Training: loss = 58.47918 | Val: loss = 293.40291
Training: loss = 54.13573 | Val: loss = 291.73779
Training: loss = 54.34825 | Val: loss = 288.71751
Training: loss = 53.27630 | Val: loss = 288.53213
Training: loss = 54.53455 | Val: loss = 287.02834
Training: loss = 53.04153 | Val: loss = 285.97117
Training: loss = 53.30021 | Val: loss = 283.83291
Training: loss = 57.15059 | Val: loss = 284.19162
Training: loss = 51.92622 | Val: loss = 283.93969
Training: loss = 54.14510 | Val: loss = 282.45991
Training: loss = 54.02755 | Val: loss = 280.84913
Training: loss = 52.42907 | Val: loss = 279.71031
Training: loss = 51.59130 | Val: loss = 280.33798
Training: loss = 53.57403 | Val: loss = 279.33470
Training: loss = 52.94174 | Val: loss = 276.38533
Training: loss = 51.93698 | Val: loss = 274.75236
Training: loss = 55.49956 | Val: loss = 278.72888
Training: loss = 53.06053 | Val: loss = 277.58387
Training: loss = 52.79501 | Val: loss = 275.87319
Training: loss = 55.63863 | Val: loss = 273.73255
Training: loss = 56.04783 | Val: loss = 275.77079
Training: loss = 51.03577 | Val: loss = 276.89751
Training: loss = 53.78400 | Val: loss = 276.41958
Training: loss = 52.85114 | Val: loss = 275.73562
Training: loss = 51.65198 | Val: loss = 274.03901
Training: loss = 50.77385 | Val: loss = 272.86566
Training: loss = 52.69430 | Val: loss = 272.13546
Training: loss = 53.11051 | Val: loss = 272.30450
Training: loss = 54.84414 | Val: loss = 273.40287
Training: loss = 52.57925 | Val: loss = 270.92404
Training: loss = 54.93982 | Val: loss = 271.92402
Training: loss = 53.79215 | Val: loss = 269.85349
Training: loss = 51.76620 | Val: loss = 270.15925
Training: loss = 54.00850 | Val: loss = 271.24517
Training: loss = 55.79749 | Val: loss = 269.37378
Training: loss = 48.54711 | Val: loss = 265.33144
Training: loss = 52.19586 | Val: loss = 266.40050
Training: loss = 50.11104 | Val: loss = 263.52632
Training: loss = 52.52658 | Val: loss = 262.98623
